SCHOOL_YEAR,DISTRICT_ID,DISTRICT_NAME,SCHOOL_ID,SCHOOL_NAME,GRADES_SERVED,SAFE_SCHOOL,AVERAGE_DAILY_MEMBERSHIP,TOTAL,FEMALE,FEMALE_PCT,MALE,MALE_PCT,ECONOMICALLY_DISADVANTAGED,ECONOMICALLY_DISADVANTAGED_PCT,LIMITED_ENGLISH_PROFICIENT,LIMITED_ENGLISH_PROFICIENT_PCT,STUDENTS_WITH_DISABILITIES,STUDENTS_WITH_DISABILITIES_PCT,AFRICAN_AMERICAN,AFRICAN_AMERICAN_PCT,ASIAN,ASIAN_PCT,HAWAIIAN_PACISLD,HAWAIIAN_PACISLD_PCT,HISPANIC,HISPANIC_PCT,NATIVE_AMERICAN,NATIVE_AMERICAN_PCT,WHITE,WHITE_PCT,AFRICAN_AMERICAN_FEMALE,AFRICAN_AMERICAN_MALE,ASIAN_FEMALE,ASIAN_MALE,HAWAIIAN_PACISLD_FEMALE,HAWAIIAN_PACISLD_MALE,HISPANIC_FEMALE,HISPANIC_MALE,NATIVE_AMERICAN_FEMALE,NATIVE_AMERICAN_MALE,WHITE_FEMALE,WHITE_MALE
2018-19,830,Sumner County Schools,120,Westmoreland High School,Grades 9-12,SAFE SCHOOL,466,488,236,48.4,252,51.6,163,33.4,1,0.2,65,13.3,7,1.4,5,1,0,0,10,2,0,0,466,95.5,2,5,2,3,0,0,4,6,0,0,228,238
2018-19,830,Sumner County Schools,117,Westmoreland Middle School,Grades 6-8,SAFE SCHOOL,426,424,204,48.1,220,51.9,162,38.2,2,0.5,61,14.4,8,1.9,4,0.9,0,0,10,2.4,1,0.2,401,94.6,6,2,2,2,0,0,6,4,0,1,190,211
2018-19,830,Sumner County Schools,125,White House High School,Grades 9-12,SAFE SCHOOL,820,836,401,48,435,52,181,21.7,9,1.1,95,11.4,30,3.6,15,1.8,2,0.2,54,6.5,3,0.4,732,87.6,16,14,9,6,2,0,16,38,2,1,356,376
2018-19,830,Sumner County Schools,130,White House Middle School,Grades 5-8,SAFE SCHOOL,782,786,394,50.1,392,49.9,170,21.6,8,1,99,12.6,48,6.1,12,1.5,1,0.1,57,7.3,4,0.5,664,84.5,23,25,10,2,0,1,33,24,2,2,326,338
2018-19,621,Sweetwater City Schools,5,Brown Intermediate School,Grades 5-6,SAFE SCHOOL,327,333,173,52,160,48,138,41.4,10,3,63,18.9,26,7.8,1,0.3,1,0.3,35,10.5,1,0.3,269,80.8,12,14,1,0,0,1,19,16,0,1,141,128
2018-19,621,Sweetwater City Schools,10,Sweetwater Elementary,Grades 3-4,SAFE SCHOOL,329,333,164,49.2,169,50.8,137,41.1,21,6.3,74,22.2,26,7.8,1,0.3,1,0.3,45,13.5,0,0,260,78.1,12,14,1,0,0,1,26,19,0,0,125,135
2018-19,621,Sweetwater City Schools,15,Sweetwater Jr High School,Grades 7-8,SAFE SCHOOL,313,317,164,51.7,153,48.3,112,35.3,8,2.5,48,15.1,29,9.1,1,0.3,0,0,34,10.7,0,0,253,79.8,14,15,1,0,0,0,17,17,0,0,132,121
2018-19,621,Sweetwater City Schools,30,Sweetwater Primary School,Grades PK-2,SAFE SCHOOL,461,468,226,48.3,242,51.7,180,38.5,30,6.4,89,19,38,8.1,5,1.1,3,0.6,61,13,0,0,361,77.1,12,26,2,3,2,1,29,32,0,0,181,180
2018-19,963,Tennessee School for the Blind,5,Tenn School For Blind,Grades PK-12,SAFE SCHOOL,,122,47,38.5,75,61.5,1,0.8,10,8.2,121,99.2,22,18,6,4.9,0,0,15,12.3,0,0,79,64.8,6,16,2,4,0,0,7,8,0,0,32,47
2018-19,964,Tennessee School for the Deaf,5,Tennessee Elementary School For Deaf,Grades K-5,SAFE SCHOOL,,39,17,43.6,22,56.4,14,35.9,0,0,39,100,10,25.6,1,2.6,0,0,5,12.8,0,0,23,59,4,6,1,0,0,0,3,2,0,0,9,14
2018-19,964,Tennessee School for the Deaf,10,Tennessee High School For Deaf,Grades 9-12,SAFE SCHOOL,,84,38,45.2,46,54.8,28,33.3,0,0,81,96.4,31,36.9,7,8.3,0,0,6,7.1,1,1.2,39,46.4,14,17,3,4,0,0,4,2,1,0,16,23
2018-19,986,Tennessee State Board of Education,8005,Bluff City High School,Grades 9-12,SAFE SCHOOL,299,305,131,43,174,57,164,53.8,29,9.5,64,21,250,82,1,0.3,0,0,54,17.7,0,0,0,0,112,138,0,1,0,0,19,35,0,0,0,0
2018-19,986,Tennessee State Board of Education,8015,KIPP Antioch College Prep Elementary,Grades K-4,SAFE SCHOOL,142,144,76,52.8,68,47.2,40,27.8,33,22.9,22,15.3,63,43.8,17,11.8,0,0,43,29.9,0,0,21,14.6,36,27,4,13,0,0,26,17,0,0,10,11
2018-19,840,Tipton County Schools,4,Atoka Elementary School,Grades PK-5,SAFE SCHOOL,876,879,415,47.2,464,52.8,124,14.1,9,1,104,11.8,131,14.9,25,2.8,4,0.5,35,4,3,0.3,681,77.5,57,74,7,18,2,2,17,18,1,2,331,350
2018-19,840,Tipton County Schools,2,Austin Peay Elementary School,Grades PK-5,SAFE SCHOOL,462,466,226,48.5,240,51.5,185,39.7,3,0.6,95,20.4,143,30.7,1,0.2,2,0.4,10,2.1,0,0,310,66.5,69,74,1,0,0,2,3,7,0,0,153,157
2018-19,840,Tipton County Schools,7,Brighton Elementary,Grades PK-5,SAFE SCHOOL,736,738,352,47.7,386,52.3,253,34.3,7,0.9,138,18.7,100,13.6,1,0.1,3,0.4,27,3.7,3,0.4,604,81.8,46,54,1,0,2,1,11,16,0,3,292,312
2018-19,840,Tipton County Schools,11,Brighton High School,Grades 9-12,SAFE SCHOOL,1231,1241,619,49.9,622,50.1,239,19.3,5,0.4,128,10.3,227,18.3,8,0.6,5,0.4,32,2.6,7,0.6,962,77.5,116,111,3,5,1,4,12,20,1,6,486,476
2018-19,840,Tipton County Schools,12,Brighton Middle School,Grades 6-8,SAFE SCHOOL,935,948,449,47.4,499,52.6,227,23.9,5,0.5,105,11.1,136,14.3,9,0.9,4,0.4,32,3.4,1,0.1,766,80.8,63,73,4,5,2,2,15,17,0,1,365,401
